name,formatted_address,rating,website,opening_hours,cuisine
Fast-Taco's,"6154 Michigan Rd, Indianapolis, IN 46228, USA",4.4,,"['Monday: 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Tuesday: 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Wednesday: 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Thursday: 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 7:00\u202fPM\u2009–\u20093:00\u202fAM', 'Sunday: 7:00\u202fPM\u2009–\u200912:00\u202fAM']",Mexican
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222, USA",4.3,https://taqueria-mi-costa.business.site/,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",Mexican
Dogs to Go by Uncle Zo,"3376 W 10th St and, N Tibbs Ave, Indianapolis, IN 46222, USA",4.3,https://www.facebook.com/pages/category/Hot-Dog-Joint/Dogs-to-go-by-uncle-zo-891773400966722/,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, USA",4.3,,"['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",
Taste Of Cholulas,"8901-8925 E Washington St, Indianapolis, IN 46219, USA",4.2,https://m.yelp.com/biz/taste-of-cholulas-indianapolis,"['Monday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u200912:00\u202fAM']",Tacos
Super Tacos,"5653 W Washington St, Indianapolis, IN 46241, USA",4.1,,"['Monday: 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 5:00\u2009–\u20099:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",
The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, USA",4.1,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,"['Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",
The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",4.1,http://grubhouseindy.com/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']","Breakfast & Brunch, Burgers, Fast Food"
La marina Maxican Food Truck,"7155 Madison Ave, Indianapolis, IN 46227, USA",4,,,
Food truck Mil Amores,"5034 E Raymond St, Indianapolis, IN 46203, USA",4,,,
